a1 a2 pvalue1 pvalue2
0.00959644461599238 -0.0002056101593273415 0.19 0.44
0.028788281536713062 0.011897985585809718 0.03 0.97
0.022939051738641886 0.0018319179918913802 0.05 0.63
0.010232208009688748 -0.00413171749757802 0.15 0.24
-0.0421534450508089 -0.014179722498214907 1.0 0.05
-0.014571930700969394 -0.041482421390444515 0.91 0.0
-0.05103268529369278 0.030321549495307118 0.99 0.98
-0.004133302811390299 -0.001881878673935946 0.75 0.39
-0.048975602870075234 0.005200480935441422 1.0 0.8
-0.02365559498933446 -0.02003841111592532 1.0 0.0
-0.0431463497467632 -0.021684636221435308 0.99 0.04
0.005424475815655409 -0.017356536379780133 0.38 0.05
-0.041787226210701495 -0.008700166387781476 0.99 0.21
0.035950967987754684 -0.018583372368708297 0.04 0.03
-0.026961891058617 0.01093124820129135 0.94 0.94
-0.007023233740773597 -0.010156406572193584 0.75 0.05
-0.02252939455122265 0.000175824242268248 0.97 0.62
0.030952112321048518 -0.01842232419713492 0.0 0.01
0.04106558002670701 -0.007933917189207327 0.03 0.24
-0.023969339250476385 -0.03416633780868232 0.92 0.0
-0.006135859672499752 0.0057031476373090645 0.74 0.89
0.012631691669330754 -0.03239066442031125 0.18 0.0
