a1_ran a2_ran a3_ran a4_ran
-3.642219859045781e-10 -0.01198657798894498 -1.8420616143544066e-09 -0.005192638678078065
1.3153362843354444e-09 0.002570999909156768 -5.996336760460963e-10 -0.0037181255445359884
4.917569684792511e-10 -0.00022197233814758022 -1.1120262488617527e-09 -0.001582355426924975
2.1729024135552777e-09 -0.00048214425445380904 5.162771321565174e-10 -0.005917787967979926
3.0995274125089622e-09 0.011180583317994763 -2.2817336908786956e-09 -0.013090915712141715
-1.8570351922875261e-09 -0.009178281634564911 -3.8180592021319626e-10 -0.0003788318050244044
2.767848839013709e-09 0.006261239690343978 5.508253853037104e-10 0.0013376299461672625
3.8386265277523535e-09 0.00927567382812633 2.050425385036192e-09 -0.002469288274867809
4.6219937877012285e-09 -0.011270002733408502 2.93955748631447e-10 -0.0002585425619705539
1.0266099081945868e-10 -0.016453449106600626 -1.9871881917765677e-11 -0.005897032738907404
1.2000465066108745e-09 0.003130043691256912 4.490852134608758e-11 -0.003191865802294913
1.3796823683520643e-09 -0.006373763893838813 -6.538574126579988e-10 -0.0023345144306246013
-3.584292862512939e-10 -0.005509884751489835 -4.414997256674269e-10 -0.00027898778079649134
-9.302858483550835e-10 -0.009764269901805234 -5.099447530909629e-10 0.00013535693478639033
-8.396074724359437e-09 -0.016638874016869032 -6.1778719917526814e-09 0.004892346451732754
6.376277283948184e-10 -0.017855208339553785 8.168321574686388e-10 -0.013066904369013477
1.0908459691094663e-09 0.0041798262332696234 9.802347822329693e-10 3.194559448382872e-05
5.048526041662171e-10 0.006627946848120292 -9.691913938070229e-11 0.0015277325151341614
1.9485879576564002e-09 0.017707450510390577 7.819156433441776e-10 0.0009680998058189116
1.5681708154247076e-09 0.011580556505912054 1.7449297562421862e-09 -0.013562667978773257
9.473648199254114e-09 0.008516986113875968 8.229306125429048e-11 -0.0025172911412743026
-1.2548311278948177e-09 0.0012818533500140727 -7.373006649658009e-10 -0.003908660818790377
3.5101020978700603e-09 0.002785259770848425 2.167967472210819e-09 -0.002247726288404417
4.370317885360464e-09 0.006349838348518211 1.9651121840880137e-09 -0.006182713763783987
-4.0041658877498776e-10 0.0028827160795547035 7.407430224759537e-10 0.0001345946909897533
6.449485945303479e-09 0.014178217384509084 3.195825937218899e-09 0.002118502082428364
-8.689221342450537e-09 -0.007529831348076277 -3.205536502903783e-09 0.0018308860032664187
-1.919390868465598e-09 -0.004944023948659115 8.20476242502366e-10 0.004550799489295598
-9.154828894963885e-09 0.005015784084674402 -2.9876159324260243e-09 -0.0014875637314448742
-2.324806569475868e-09 -0.007578913749707317 -2.0025270330847889e-10 0.005843876284974181
-8.193650202770186e-10 -0.007936015728216894 2.0217767460195546e-09 -0.006210106595338383
-1.888992184895244e-08 -0.004687492436590945 -3.817700378050404e-09 0.0057864961897708955
5.358716914649619e-09 -0.008338888664555899 1.8240816634929047e-09 0.0007597377912244019
-4.538095010886423e-09 0.012156242966444797 6.069214020243408e-10 0.0010784507358361228
